order_id,product_id,customer_id,price,shipping_date,order_date,quantity,discount_pct,sales_channel,payment_method,shipping_region,order_status,promo_code,customer_segment
2520785,28289,107540,29.99,2024-05-09,2024-05-06,1,0,Amazon,Debit Card,Midwest,Delivered,NONE,VIP
8425962,23434,853629,34.99,2022-05-26,2022-05-17,1,0,Website,Debit Card,Northeast,Delivered,WELCOME15,Returning
3649653,40495,850981,54.99,03-Nov-2023,2023-10-26,2,0,Mobile App,Apple Pay,Midwest,Returned,NONE,New
2664446,98696,833247,24.99,2024-09-09,2024-09-04,1,0,Mobile App,Buy Now Pay Later,Southwest,Processing,SAVE10,Returning
9143206,21395,735863,49.99,2022-08-02,23-Jul-2022,3,0,Website,Buy Now Pay Later,Midwest,Delivered,NONE,New
5957512,13278,642717,80.99,2024-03-08,2024-03-05,1,10,Mobile App,Buy Now Pay Later,Northeast,Processing,NONE,VIP
3633591,14165,294851,14.99,04/11/2023,2023-04-02,1,0,Mobile App,PayPal,West Coast,Delivered,NONE,Returning
3329257,24592,852470,59.99,04/06/2023,2023-04-01,1,0,Website,Buy Now Pay Later,Northeast,Delivered,SUMMER20,Returning
3198183,23434,496922,34.99,2024-07-25,2024-07-19,1,0,Website,Credit Card,Midwest,Cancelled,LOYALVIP,Returning
1443636,38657,895667,26.99,2024-02-27,2024-02-17,1,0,Website,Debit Card,Midwest,Delivered,NONE,Returning
6067314,14165,757924,12.74,2024-04-29,04/26/2024,1,15,Email Campaign,Apple Pay,Northeast,Shipped,LOYALVIP,Returning
2459833,23434,848206,29.74,2022-12-08,2022-12-03,1,15,Amazon,Credit Card,International,Delivered,NONE,Returning
7832871,39256,440035,79.99,2024-01-31,2024-01-25,1,0,Email Campaign,Debit Card,Southeast,Shipped,NONE,Dormant
8784808,13905,332360,19.54,09/16/2023,09/14/2023,2,15,Instagram,PayPal,Southeast,Returned,NONE,New
3966773,13905,340044,22.99,2022-08-18,2022-08-17,1,0,Website,PayPal,West Coast,Delivered,NONE,Returning
3000237,13905,453894,21.84,2023-04-03,29-Mar-2023,1,5,Website,Credit Card,Southwest,Delivered,WELCOME15,Returning
7026084,46048,982554,44.99,2022-01-10,2022-01-01,1,0,Amazon,Debit Card,Midwest,Returned,NONE,VIP
5038912,87397,601968,66.49,04/22/2023,2023-04-21,1,5,Website,credit card,Southwest,Delivered,NONE,Returning
3954349,87397,413058,66.49,07-Jul-2022,2022-07-05,2,5,Instagram,Google Pay,Southeast,Processing,WELCOME15,Returning
7813566,38657,121753,26.99,03/05/2022,2022-03-04,1,0,Website,Credit Card,West Coast,Delivered,NONE,Returning
7416441,13905,735324,21.84,2024-02-08,02/06/2024,2,5,Mobile App,Credit Card,West Coast,Processing,NONE,Returning
4521807,76237,725780,39.99,2023-09-29,09/25/2023,3,0,Mobile App,Credit Card,Northeast,Delivered,NONE,VIP
8966477,22280,725550,12.34,2024-07-15,2024-07-13,1,5,Retail Store,Apple Pay,Northeast,Shipped,NONE,New
1083118,76237,953797,39.99,2023-05-16,2023-05-06,1,0,Amazon,Credit Card,Southwest,Delivered,NONE,New
7647386,42098,912270,149.99,2023-10-17,2023-10-11,1,0,Amazon,PayPal,Southwest,Shipped,SUMMER20,Dormant
4712643,23434,785743,34.99,2023-12-03,2023-11-25,2,0,Mobile App,PayPal,Southeast,Delivered,NONE,Returning
3117316,87397,772875,69.99,2023-06-16,2023-06-10,-2,0,Amazon,PayPal,Southwest,Delivered,WELCOME15,VIP
6955093,40495,138479,54.99,2023-02-20,2023-02-11,1,0,Website,Credit Card,International,Delivered,NONE,New
1553932,98696,220764,24.99,2024-09-29,2024-09-19,1,0,Mobile App,Apple Pay,Midwest,Cancelled,FLASH25,New
4614631,24592,493049,53.99,2022-01-10,2022-01-09,1,10,Amazon,Apple Pay,Southeast,Delivered,NONE,VIP
3031888,81482,576919,35.99,2024-10-10,2024-09-30,1,10,Website,Credit Card,West Coast,Shipped,NONE,Dormant
4869297,81482,684384,39.99,2022-11-25,2022-11-17,2,0,Amazon,Buy Now Pay Later,Southeast,Delivered,LOYALVIP,At-Risk
3632201,98696,780776,21.24,10/13/2022,2022-10-11,1,15,Mobile App,Google Pay,Southwest,Shipped,LOYALVIP,Dormant
9390481,65302,402630,199.99,2024-02-08,02/01/2024,1,0,Instagram,Buy Now Pay Later,International,Processing,WELCOME15,Returning
1757620,21395,636265,49.99,2022-08-31,2022-08-26,1,0,Amazon,Credit Card,Northeast,Processing,NONE,Returning
6067899,76237,543692,39.99,2023-02-06,2023-02-05,1,0,Retail Store,Buy Now Pay Later,Southwest,Returned,NONE,Dormant
9919419,23434,105814,34.99,2023-11-08,10/30/2023,1,0,Website,Credit Card,Southwest,Delivered,NONE,At-Risk
7011139,21395,563513,49.99,2024-01-08,2023-12-29,1,0,Email Campaign,Buy Now Pay Later,West Coast,Shipped,NONE,At-Risk
1127337,88907,203225,46.74,2024-09-23,16-Sep-2024,1,15,Website,Debit Card,Midwest,Delivered,NONE,New
4102888,13905,856321,22.99,2024-08-10,02-Aug-2024,1,0,Website,Debit Card,West Coast,Processing,FLASH25,VIP
3537113,40495,724834,49.49,2023-05-13,04-May-2023,1,10,Website,Credit Card,Midwest,Returned,NONE,At-Risk
1756371,81482,930884,37.99,2023-05-20,05/16/2023,2,5,Mobile App,PayPal,Northeast,Delivered,SAVE10,At-Risk
8012655,46048,507524,44.99,2024-05-18,2024-05-10,4,0,Website,Credit Card,Midwest,Delivered,NONE,Returning
2597520,28289,587575,29.99,2022-01-28,2022-01-27,1,0,Website,PayPal,Southeast,Delivered,NONE,VIP
1817871,65302,418862,199.99,2022-06-06,06/02/2022,2,0,Amazon,Credit Card,Southwest,Delivered,WELCOME15,At-Risk
2782460,21395,863934,44.99,2022-09-03,2022-08-30,5,10,Instagram,Credit Card,Southwest,Delivered,SAVE10,Returning
5015786,21395,665427,47.49,09-Dec-2022,2022-12-08,1,5,Amazon,Apple Pay,Midwest,Returned,NONE,Dormant
5085564,42098,485178,149.99,04/07/2024,31-Mar-2024,2,0,Mobile App,PayPal,International,delivered,NONE,Returning
4550837,23434,923927,34.99,25-Nov-2023,2023-11-19,1,0,Retail Store,Credit Card,Southeast,Shipped,NONE,Returning
